Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Halden stadion;101000101;Eksisterende;Halden kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 103.00 ;Bredde 65.00 ;  ;  ;125115;37590;6;6559339;292517;33
Risum ungdomsskole - kunstgress;101001202;Eksisterende;Halden kommune;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;124171;39430;7;6558279;294293;33
Risum ungdomsskole - gressbane (r);101001203;Eksisterende;Halden kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 68.00 ;  ;  ;124000;39550;6;6558101;294401;33
Ystehede gressbane;101001701;Eksisterende;Halden bedriftsidrettsråd;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 90.00 ;Bredde 60.00 ;  ;  ;118825;40035;6;6552905;294554;33
Tistedalen stadion;101001901;Eksisterende;Tistedalens Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 105.00 ;Bredde 65.00 ;  ;  ;126365;42020;6;6560303;297018;33
Tistedalen stadion;101001902;Eksisterende;Tistedalens Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 110.00 ;Bredde 70.00 ;  ;  ;126333;42189;6;6560260;297185;33
Tistedalen stadion;101001904;Nedlagt;Tistedalens Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 65.00 ;  ;  ;126365;42020;5;6560303;297018;33
Tistedal stadion - grus;101001906;Nedlagt;Tistedalens Turn og IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 65.00 ;  ;  ;126365;42020;5;6560303;297018;33
Tistedal stadion - kunstgressbane;101001907;Eksisterende;Halden kommune;Tistedalens Turn og IF;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 110.00 ;Bredde 60.00 ;  ;  ;126394;42113;7;6560326;297113;33
Prestebakke stadion;101002201;Eksisterende;Halden kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 70.00 ;Bredde 50.00 ;  ;  ;110645;47315;5;6544275;301296;33
Prestebakke stadion;101002203;Eksisterende;Halden kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;110645;47315;6;6544275;301296;33
Berg stadion;101002801;Eksisterende;Berg IL;Berg IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 101.00 ;Bredde 64.00 ;  ;  ;125121;33006;6;6559639;287942;33
Berg stadion - kunstgress;101002803;Planlagt;Berg IL;Berg IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;  ;  ;  ;  ;125164;31755;7;6559762;286696;33
Aspedammen stadion;101002902;Eksisterende;Idd Sportsklubb;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 110.00 ;Bredde 75.00 ;  ;  ;117809;43706;5;6551656;298153;33
Aspedammen stadion - gress;101002905;Eksisterende;Idd Sportsklubb;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 65.00 ;  ;  ;117890;43770;6;6551733;298222;33
Høyskolen i Østfold - fotballbane, gress;101003707;Eksisterende;Østfold fylkeskommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 90.00 ;Bredde 60.00 ;  ;  ;125900;36334;6;6560203;291314;33
Gressbane - Rieber;101003901;Eksisterende;Rieber;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 90.00 ;Bredde 70.00 ;  ;  ;124650;34340;6;6559083;289243;33
Østerbo;101008704;Eksisterende;Pinsevennenes Evangelie Senter;Pinsevennenes Evangelie Senter;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 50.00 ;  ;  ;137040;43173;5;6570883;298853;33
